Hand,Card 1,Card 2,Card 3,Card 4,Card 5,Hand_Evaluated,Winning Percentage
480,8D,JH,6C,4H,KH,High Card,0.18
481,5H,7C,5S,6C,QD,Pair,0.611
482,3C,3S,4S,5H,9S,Pair,0.544
483,JH,JD,2H,7C,5D,Pair,0.8
484,9S,7C,AH,8D,2C,High Card,0.335
485,6D,2H,JD,8S,JH,Pair,0.802
486,3H,JC,10D,9D,5S,High Card,0.0422
487,AC,5S,9C,JS,7S,High Card,0.3204
488,JD,KD,8C,10C,3H,High Card,0.187
489,9S,7S,JH,KC,3D,High Card,0.187
490,6D,4H,5H,KC,JH,High Card,0.1884
491,3H,KC,2H,QH,8D,High Card,0.1754
492,AC,9S,AD,AS,5S,Three-of-a-Kind,0.9928
493,9D,4D,KD,AH,9C,Pair,0.7736
494,7S,KS,QC,2S,JC,High Card,0.1858
495,4D,8H,JC,3D,9H,High Card,0.0424
496,AH,4C,10S,2H,6D,High Card,0.3368
497,QC,KS,7S,4C,3S,High Card,0.1826
498,9D,8D,5H,QH,7H,High Card,0.0976
499,7S,4S,4H,5S,JC,Pair,0.5818
500,4C,QH,3D,6D,8S,High Card,0.0966
501,AH,8C,2D,8S,4D,Pair,0.7128
502,QC,4S,AC,7D,AS,Pair,0.9282
503,7D,QD,JS,8H,10H,High Card,0.0996
504,5S,8S,10S,10C,9C,Pair,0.7608
505,2C,3H,8H,9H,6S,High Card,0.0058
506,QH,QC,7H,JC,2D,Pair,0.8422
507,10S,7H,6D,QD,QS,Pair,0.846
508,7D,3D,QS,10H,8D,High Card,0.0918
509,5S,QS,2C,KD,7C,High Card,0.1716
510,2C,7H,AC,KS,4S,High Card,0.336
511,QH,3C,KS,AC,KD,Pair,0.905
512,10S,JH,QS,2H,10C,Pair,0.799
513,5D,7D,10H,2C,8H,High Card,0.0144
514,3S,7H,3D,5C,3C,Three-of-a-Kind,0.9744
515,KC,JH,6D,5S,2S,High Card,0.1862
516,10H,7C,5C,4D,JD,High Card,0.043
517,8S,2H,4C,6S,10C,High Card,0.0178
518,5D,JD,3S,7C,6H,High Card,0.0486
519,2H,7S,2S,6H,3C,Pair,0.5064
520,KC,2D,JH,8C,KS,Pair,0.8744
521,10H,JC,9H,9D,5D,Pair,0.7638
522,8S,6H,9D,9S,8C,Two Pairs,0.9382
523,3D,2D,8D,10D,4H,High Card,0.0182
524,KH,JS,7C,QS,AD,High Card,0.3236
525,JC,6D,6C,JD,JS,Full House,0.9992
526,8D,2C,3S,QH,9D,High Card,0.0918
527,6S,10H,2S,QC,6C,Pair,0.6522
528,3D,6D,KH,2H,7H,High Card,0.1798
529,KH,2S,QD,2C,4C,Pair,0.504
530,JC,10D,JD,AD,JS,Three-of-a-Kind,0.9876
531,8D,6C,10C,3S,7D,High Card,0.0154
532,6S,AH,7C,4D,4C,Pair,0.584
